amount,venue,address,city,state,zip,type
766924.32,"Black Box Theater, LLC - SVOG",8221 Glades Road Suite #10 ,Boca Raton,FL,33434,Live venue operator or promoter
122199.00,"Boca Raton Philharmonic Symphonia, Inc - SVOG",2285 Potomac Rd. ,Boca Raton,FL,33431,Live performing arts organization operator
51176.81,Boca Raton Theatre Guild Inc - SVOG,3364 NW 53rd Circle ,Boca Raton,FL,33496,Theatrical producer
706773.71,Funky Biscuit Enterprises Inc - SVOG,303 SE Mizner Blvd #59,Boca Raton,FL,33432,Live venue operator or promoter
784648.50,Good Jams LLC dba Crazy Uncle Mike's - SVOG,6450 N. Federal Highway ,Boca Raton,FL,33487,Live venue operator or promoter
10000000.00,"IPIC THEATERS, LLC - SVOG","433 Plaza Real, Suite 335 ",Boca Raton,FL,33432,Motion picture theater operator
5333.85,"Limitless Agency, LLC - SVOG",18400 Ruffian Way,Boca Raton,FL,33496,Live venue operator or promoter
538150.00,Penny Loafer Productions Inc - SVOG,4301 North Ocean Blvd Apt A1103,Boca Raton,Fl,33431,Talent representative
238064.81,Red Stars International Inc. - SVOG,396 Ipswich St ,Boca Raton,FL,33487,Live venue operator or promoter
422943.89,"The Howard Pitch Entertainment Company, Inc. - SVOG",7905 Tennyson Court ,Boca Raton,FL,33433,Talent representative
1369592.11,The Wick Theatre and Costume Museum Inc - SVOG,7901 N Federal Hwy FL,Boca Raton,FL,33489,Theatrical producer
982464.29,Center for the Arts of Bonita Springs - SVOG,26100 Old 41 Road 10150 Bonita Beach Road,Bonita Springs,FL,34135,Live performing arts organization operator
18454.60,Grand Piano Series Inc. - SVOG,3330 Crossings Ct 301,Bonita Springs,FL,34134,Live performing arts organization operator
1004285.80,LOL Holdings - SVOG,11515 Bonita Beach Road SE ,Bonita Springs,FL,34135,Live venue operator or promoter
1205923.88,Prado Theater LLC - SVOG,25251 Chamber of Commerce Dr ,Bonita Springs,FL,34135,Motion picture theater operator
811103.18,"Spanish River Concerts, Inc. - SVOG",6831 W Liseron ,Boynton Beach,FL,33437,Live performing arts organization operator
73486.70,3 Phase Production Inc - SVOG,5606 7th Avenue Dr West ,Bradenton,FL,34209,Talent representative
